date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:38	13877/13877	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/forgot-password.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/forgot-password.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:38	13219/13219	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/error-404.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/error-404.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:38	27748/27748	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/blank-page.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/blank-page.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:39	31567/31567	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/sports.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/sports.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:39	31960/31960	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/hostel.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/hostel.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:39	30091/30091	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/transport.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/transport.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:39	29984/29984	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/alerts.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/alerts.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:39	53125/53125	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/accordions.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/accordions.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:40	30573/30573	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/avatar.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/avatar.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:40	39028/39028	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/badges.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/badges.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:40	37853/37853	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/buttons.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/buttons.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:40	29811/29811	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/buttongroup.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/buttongroup.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:40	31610/31610	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/breadcrumbs.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/breadcrumbs.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:41	33736/33736	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/cards.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/cards.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:41	35278/35278	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/carousel.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/carousel.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:41	33744/33744	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/dropdowns.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/dropdowns.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:41	32188/32188	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/grid.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/grid.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:42	29729/29729	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/images.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/images.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:42	29630/29630	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/lightbox.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/lightbox.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:42	33179/33179	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/media.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/media.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:42	54727/54727	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/modal.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/modal.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:43	37290/37290	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/offcanvas.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/offcanvas.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:43	29686/29686	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/pagination.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/pagination.html	(from https://preschool.dreamstechnologies.com/template/index.html)
